order_item_id,order_id,product_id,quantity
1,1,29,4
2,1,47,5
3,1,11,1
4,2,24,2
5,3,28,3
6,3,5,3
7,4,42,1
8,4,20,1
9,4,58,1
10,4,20,2
11,5,30,2
12,5,8,1
13,5,57,4
14,6,1,1
15,6,6,2
16,7,56,5
17,7,45,5
18,7,18,3
19,7,2,5
20,8,5,2
21,8,14,1
22,8,26,4
23,8,2,1
24,9,28,4
25,9,27,2
26,9,1,5
27,9,58,1
28,10,50,3
29,11,47,4
30,11,13,3
31,11,2,3
32,12,16,4
33,12,52,1
34,13,56,5
35,14,36,4
36,14,51,2
37,14,46,1
38,14,19,3
39,15,39,3
40,16,53,4
41,16,35,2
42,16,24,3
43,16,47,5
44,17,21,3
45,17,27,2
46,18,24,4
47,18,23,3
48,18,10,4
49,18,44,5
50,19,24,4
51,19,6,5
52,19,17,2
53,19,22,3
54,20,29,5
55,20,56,2
56,20,57,1
57,20,22,5
58,21,39,3
59,21,35,2
60,22,53,2
61,22,53,4
62,23,53,4
63,24,33,5
64,25,34,1
65,26,17,5
66,27,48,2
67,27,44,3
68,28,8,3
69,28,47,3
70,28,36,4
71,28,34,4
72,29,37,3
73,29,48,4
74,30,15,4
75,31,54,2
76,31,46,1
77,32,32,2
78,33,45,3
79,34,49,4
80,34,20,2
81,35,53,2
82,36,2,1
83,37,8,2
84,37,12,1
85,37,5,3
86,38,8,4
87,38,23,4
88,38,1,5
89,38,20,3
90,39,24,2
91,39,20,4
92,39,40,5
93,39,59,4
94,40,44,4
95,41,32,3
96,42,2,3
97,42,45,4
98,42,56,4
99,43,28,5
100,44,44,4
101,44,2,4
102,44,3,4
103,45,31,3
104,46,6,2
105,47,30,4
106,48,16,5
107,48,31,1
108,48,21,3
109,49,14,5
110,49,27,1
111,49,1,2
112,49,38,1
113,50,5,5
114,50,12,4
115,50,18,5
116,50,25,5
117,51,17,5
118,52,45,5
119,53,12,4
120,53,19,2
121,53,3,3
122,53,39,3
123,54,8,2
124,54,54,1
125,54,13,4
126,54,32,2
127,55,25,2
128,56,3,3
129,56,12,2
130,56,22,5
131,56,55,4
132,57,46,4
133,57,52,1
134,58,11,2
135,59,48,5
136,59,37,1
137,60,32,3
138,60,51,4
139,60,2,5
140,60,58,3
141,61,27,4
142,62,18,4
143,63,5,1
144,63,6,3
145,63,57,3
146,63,31,4
147,64,59,2
148,64,8,1
149,65,6,5
150,65,12,2
151,66,43,5
152,66,24,5
153,66,17,4
154,66,5,2
155,67,8,5
156,67,3,2
157,67,13,2
158,67,20,2
159,68,1,3
160,68,4,5
161,68,51,1
162,68,8,5
163,69,38,5
164,69,1,3
165,69,57,2
166,70,59,2
167,70,56,4
168,70,52,2
169,71,43,4
170,71,31,4
171,72,7,2
172,72,25,5
173,73,10,2
174,74,56,1
175,74,31,5
176,75,37,2
177,76,41,4
178,76,54,3
179,77,53,3
180,77,27,1
181,78,3,3
182,78,50,4
183,78,2,2
184,78,43,3
185,79,29,5
186,79,54,2
187,79,48,2
188,79,31,5
189,80,42,2
190,80,16,5
191,80,34,3
192,80,32,1
193,81,39,1
194,81,27,1
195,81,36,1
196,81,46,2
197,82,24,3
198,83,18,4
199,83,42,3
200,83,20,5
201,83,39,3
202,84,55,4
203,84,33,4
204,84,25,5
205,85,31,3
206,85,6,4
207,86,35,5
208,86,40,1
209,86,17,3
210,87,56,3
211,87,39,5
212,87,15,3
213,88,59,2
214,88,37,2
215,88,23,3
216,89,53,3
217,89,34,4
218,90,17,5
219,90,28,2
220,90,50,5
221,91,52,3
222,91,13,3
223,92,14,4
224,92,38,5
225,92,12,1
226,93,41,2
227,93,14,5
228,93,51,3
229,94,57,4
230,94,24,2
231,95,31,3
232,95,60,5
233,95,30,5
234,95,22,2
235,96,39,1
236,96,17,1
237,96,25,5
238,97,1,1
239,97,13,3
240,97,60,4
241,97,30,5
242,98,33,5
243,98,27,2
244,98,18,1
245,99,41,4
246,99,39,1
247,99,31,4
248,99,25,3
249,100,9,2
250,101,24,1
251,102,55,1
252,103,7,5
253,103,35,3
254,103,9,1
255,104,14,1
256,104,58,5
257,104,4,1
258,104,8,3
259,105,19,4
260,105,16,2
261,105,15,5
262,106,60,5
263,106,23,2
264,106,10,1
265,107,49,2
266,107,11,4
267,107,14,5
268,108,11,1
269,109,52,4
270,109,8,1
271,109,16,4
272,110,16,4
273,110,40,2
274,111,59,2
275,111,18,1
276,112,16,3
277,113,38,5
278,113,55,4
279,113,29,2
280,113,15,1
281,114,27,4
282,115,10,4
283,115,55,5
284,115,49,4
285,115,2,5
286,116,14,4
287,116,28,5
288,116,22,3
289,117,32,5
290,118,54,4
291,118,39,2
292,118,24,2
293,118,46,1
294,119,11,4
295,119,14,2
296,119,21,3
297,119,26,3
298,120,46,3
299,120,58,2
300,121,39,4
301,121,2,5
302,121,16,1
303,121,29,1
304,122,37,3
305,122,24,4
306,122,2,4
307,122,28,4
308,123,6,4
309,123,17,3
310,123,15,3
311,123,24,3
312,124,11,2
313,124,15,5
314,124,42,5
315,124,39,5
316,125,55,1
317,125,25,3
318,126,49,2
319,127,46,2
320,128,40,5
321,129,17,1
322,130,29,2
323,130,19,2
324,130,55,4
325,131,56,2
326,131,15,4
327,131,20,2
328,132,15,1
329,133,37,2
330,134,36,4
331,134,28,2
332,134,16,1
333,135,39,1
334,135,5,1
335,136,53,2
336,136,35,1
337,136,50,4
338,137,47,2
339,137,10,5
340,137,60,2
341,138,51,1
342,138,21,2
343,139,33,1
344,139,33,5
345,139,58,1
346,140,9,2
347,140,4,4
348,140,10,2
349,140,16,5
350,141,37,3
351,141,30,2
352,141,30,2
353,142,46,2
354,143,41,5
355,143,49,1
356,144,25,2
357,145,19,4
358,146,44,4
359,146,36,5
360,146,47,4
361,146,57,5
362,147,42,5
363,147,23,5
364,147,37,4
365,147,49,3
366,148,11,5
367,148,55,4
368,148,9,1
369,148,14,1
370,149,54,3
371,149,8,5
372,149,58,4
373,150,25,3
374,150,24,1
375,150,21,4
376,150,13,1
377,151,28,2
378,151,29,5
379,152,42,3
380,152,26,2
381,153,2,2
382,153,58,4
383,154,32,4
384,154,30,4
385,154,24,2
386,155,9,4
387,155,4,2
388,155,10,1
389,155,19,3
390,156,23,4
391,157,57,4
392,157,5,5
393,157,19,3
394,157,53,5
395,158,3,4
396,158,5,3
397,158,22,2
398,158,20,5
399,159,1,1
400,159,10,5
401,160,4,1
402,160,33,2
403,160,41,5
404,161,2,4
405,161,26,3
406,161,52,5
407,162,23,5
408,162,21,3
409,162,24,1
410,162,52,5
411,163,57,4
412,164,28,5
413,164,3,5
414,164,47,5
415,164,33,1
416,165,60,4
417,165,22,4
418,166,10,2
419,166,49,2
420,166,6,5
421,167,18,4
422,167,15,1
423,167,3,3
424,167,1,2
425,168,27,5
426,168,13,4
427,169,28,5
428,169,37,3
429,170,1,1
430,170,11,1
431,171,47,4
432,171,51,1
433,171,15,4
434,172,60,4
435,172,8,1
436,173,52,3
437,173,40,3
438,173,55,4
439,173,17,5
440,174,41,3
441,174,34,2
442,174,43,5
443,175,52,5
444,175,50,2
445,175,15,1
446,176,31,3
447,176,22,5
448,176,20,4
449,176,47,4
450,177,38,3
451,178,7,2
452,178,36,2
453,178,55,2
454,179,30,2
455,179,60,1
456,180,27,4
457,180,27,5
458,180,22,3
459,181,16,2
460,182,60,1
461,182,50,3
462,182,60,1
463,182,28,4
464,183,10,4
465,183,31,1
466,183,22,3
467,183,8,3
468,184,32,4
469,184,60,4
470,185,26,4
471,185,55,2
472,186,16,5
473,186,52,2
474,186,22,2
475,187,38,4
476,187,55,1
